date,queue_entered_at,queue_ahead_team_count,payment_completed_at,store_id,store_name,post_payment_pickup_minutes
2026-05-15,10:30,1,10:32,1,광뚝,6
2026-05-19,11:33,1,11:35,4,비비고고,5
2026-05-19,13:30,4,13:36,3,바비든든,8
2026-05-19,14:07,0,14:08,3,바비든든,3
2026-05-20,11:48,9,11:54,2,경성카츠,3
2026-05-20,11:52,12,12:04,2,경성카츠,7
2026-05-20,12:02,10,12:09,2,경성카츠,5
2026-05-21,11:42,10,11:49,1,광뚝,6
2026-05-21,12:16,8,12:23,4,비비고고,6
2026-05-22,12:10,4,12:15,4,비비고고,4
2026-05-26,11:39,5,11:44,1,광뚝,4
2026-05-26,13:38,1,13:39,1,광뚝,7
2026-05-26,17:58,2,18:01,4,비비고고,7
2026-05-26,18:45,0,18:46,4,비비고고,2
2026-05-27,12:38,4,12:42,3,바비든든,7
2026-05-27,14:11,0,14:12,3,바비든든,5
2026-05-27,17:27,3,17:29,2,경성카츠,8
2026-05-28,11:39,4,11:43,4,비비고고,2
2026-05-28,14:39,0,14:39,1,광뚝,3
2026-05-29,12:40,2,12:42,3,바비든든,3
2026-05-29,13:25,1,13:26,4,비비고고,2
2026-05-29,15:08,0,15:09,1,광뚝,5
2026-06-01,12:26,3,12:30,4,비비고고,4
2026-06-01,14:11,1,14:12,2,경성카츠,6
2026-06-02,11:43,6,11:47,1,광뚝,9
2026-06-02,14:10,0,14:11,3,바비든든,2
2026-06-02,15:01,3,15:04,4,비비고고,3
2026-06-02,18:02,3,18:05,1,광뚝,10
2026-06-03,14:27,0,14:28,1,광뚝,4
2026-06-04,11:37,4,11:41,4,비비고고,3
2026-06-04,13:05,5,13:09,2,경성카츠,6
2026-06-05,10:35,0,10:36,3,바비든든,6
2026-06-05,12:14,4,12:18,2,경성카츠,7
2026-06-05,12:56,0,12:57,3,바비든든,4
